movieId,title,genres,imdbId,tmdbId,rating,number_of_ratings,weighted_rating
318,"Shawshank Redemption, The (1994)",Crime|Drama,111161,278,4.44,77887,4.423
858,"Godfather, The (1972)",Crime|Drama,68646,238,4.35,49846,4.3254
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,114814,629,4.32,53195,4.2975
527,Schindler's List (1993),Drama|War,108052,424,4.29,59857,4.2704
1221,"Godfather: Part II, The (1974)",Crime|Drama,71562,240,4.27,32247,4.2348
1193,One Flew Over the Cuckoo's Nest (1975),Drama,73486,510,4.24,35832,4.209
2959,Fight Club (1999),Action|Crime|Drama|Thriller,137523,550,4.23,48879,4.2073
904,Rear Window (1954),Mystery|Thriller,47396,567,4.25,19422,4.1936
912,Casablanca (1942),Drama|Romance,34583,289,4.23,27819,4.1908
750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Comedy|War,57012,935,4.22,25778,4.1781
2019,Seven Samurai (Shichinin no samurai) (1954),Action|Adventure|Drama,47478,346,4.26,12753,4.1756
58559,"Dark Knight, The (2008)",Action|Crime|Drama|IMAX,468569,155,4.2,29422,4.1638
908,North by Northwest (1959),Action|Adventure|Mystery|Romance|Thriller,53125,213,4.22,17837,4.1605
2571,"Matrix, The (1999)",Action|Sci-Fi|Thriller,133093,603,4.17,64830,4.1537
1198,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Action|Adventure,82971,85,4.17,51962,4.1498
1203,12 Angry Men (1957),Drama,50083,389,4.22,14828,4.1492
296,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller,110912,680,4.16,79091,4.1468
593,"Silence of the Lambs, The (1991)",Crime|Horror|Thriller,102926,274,4.16,76271,4.1463
6016,City of God (Cidade de Deus) (2002),Action|Adventure|Crime|Drama|Thriller,317248,598,4.21,16447,4.1463
1213,Goodfellas (1990),Crime|Drama,99685,769,4.18,29939,4.1451
260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi,76759,11,4.16,67092,4.1444
1196,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Sci-Fi,80684,1891,4.16,53331,4.1405
4226,Memento (2000),Mystery|Thriller,209144,77,4.17,34790,4.1401
1136,Monty Python and the Holy Grail (1975),Adventure|Comedy|Fantasy,71853,762,4.16,35450,4.1309
2858,American Beauty (1999),Drama|Romance,169547,14,4.15,51648,4.13
5618,Spirited Away (Sen to Chihiro no kamikakushi) (2001),Adventure|Animation|Fantasy,245429,129,4.19,16830,4.1288
4973,"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",Comedy|Romance,211915,194,4.16,29005,4.1246
2324,Life Is Beautiful (La Vita è bella) (1997),Comedy|Drama|Romance|War,118799,637,4.17,21634,4.1227
1197,"Princess Bride, The (1987)",Action|Adventure|Comedy|Fantasy|Romance,93779,2493,4.15,36882,4.1223
