rating,genres,description,title,imdb_id,director,length,number_of_rating,year,img,weighted_rating
8.8,"Action,Drama,History,Thriller","When Iraq invades Kuwait in August, 1990, a callous Indian businessman becomes the spokesperson for more than 170,000 stranded countrymen.",Airlift,/title/tt4387040/,Raja Menon,130 mins.,"27,071",2016,"http://ia.media-imdb.com/images/M/MV5BMTAzZmJiOGQtOWM3NS00MDEwLWJiNGEtN2QzMDM3NDJjMWQwXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY268_CR11,0,182,268_AL_.jpg",4.36395
8.5,"Action,Adventure,Sci-Fi,Thriller",Political interference in the Avengers' activities causes a rift between former allies Captain America and Iron Man.,Captain America: Civil War,/title/tt3498820/,Anthony Russo,146 mins.,"73,623",2016,"http://ia.media-imdb.com/images/M/MV5BMjQ0MTgyNjAxMV5BMl5BanBnXkFtZTgwNjUzMDkyODE@._V1_UX182_CR0,0,182,268_AL_.jpg",4.23845
9.4,"Drama,Family","After he retires, an aging theatre actor and his wife begin to feel unwanted by their children.",Natsamrat,/title/tt5311546/,Mahesh Manjrekar,166 mins.,"1,770",2016,"http://ia.media-imdb.com/images/M/MV5BZWIwY2ZkZjktOTE5YS00ZDYwLTljMGUtNmM0YzQ4ODkwZmIzXkEyXkFqcGdeQXVyNjQ4MTA1Mjk@._V1_UY268_CR146,0,182,268_AL_.jpg",4.22625
9.3,"Animation,Action,Comedy,Sci-Fi",A group of alien treasure hunters named The Tengkotak has arrived on earth and kidnapped Ochobot in...,BoBoiBoy: The Movie,/title/tt5466576/,Nizam Razak,100 mins.,"1,823",2016,"http://ia.media-imdb.com/images/M/MV5BMjkyZWI3OTEtODY2Mi00OWQ5LWFhNTEtNmYzMjNlMWZhNTYwXkEyXkFqcGdeQXVyNjU0MzE0MDU@._V1_UY268_CR98,0,182,268_AL_.jpg",4.20285
9.6,"Action,Drama,Thriller",A man of Pakistan's Elite Special Forces whose life gets entangled with Politics. They soon realize that serving the nation is more complicated than simple following of orders.,Maalik,/title/tt5271442/,Ashir Azeem,152 mins.,"1,159",2016,"http://ia.media-imdb.com/images/M/MV5BNjVlY2M0MTUtYzgyYS00YTk0LTkxYTEtMTI4ZmY4NjIxMWZlXkEyXkFqcGdeQXVyMzc0NzU5MTc@._V1_UY268_CR6,0,182,268_AL_.jpg",4.14585
8.3,"Animation,Action,Adventure,Comedy,Crime,Family","In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.",Zootopia,/title/tt2948356/,Byron Howard,108 mins.,"69,841",2016,"http://ia.media-imdb.com/images/M/MV5BOTMyMjEyNzIzMV5BMl5BanBnXkFtZTgwNzIyNjU0NzE@._V1_UX182_CR0,0,182,268_AL_.jpg",4.13925
8.2,"Action,Adventure,Comedy,Sci-Fi","A former Special Forces operative turned mercenary is subjected to a rogue experiment that leaves him with accelerated healing powers, adopting the alter ego Deadpool.",Deadpool,/title/tt1431045/,Tim Miller,108 mins.,"359,424",2016,"http://ia.media-imdb.com/images/M/MV5BMjQyODg5Njc4N15BMl5BanBnXkFtZTgwMzExMjE3NzE@._V1_UY268_CR1,0,182,268_AL_.jpg",4.098
8.5,"Action,Drama,Fantasy,Thriller",An intelligent son of a former entrepreneur takes revenge on a powerful and rich businessman who is as smart as he is.,Nannaku Prematho,/title/tt5098128/,Sukumar,168 mins.,"4,089",2016,"http://ia.media-imdb.com/images/M/MV5BMjI0NDQ2MTMzMF5BMl5BanBnXkFtZTgwMzc4MDA3NzE@._V1_UY268_CR5,0,182,268_AL_.jpg",4.08055
8.2,"Biography,Drama,Thriller","Neerja is a portrayal on the life of the courageous Neerja Bhanot, who sacrificed her life while protecting the lives of 359 passengers on the Pan Am flight 73 in 1986. The flight was hijacked by a terrorist organization.",Neerja,/title/tt5286444/,Ram Madhvani,122 mins.,"5,346",2016,"http://ia.media-imdb.com/images/M/MV5BYzMxM2EwMzctOWUzYy00ZTNkLWE3ZjYtYjI5NWUzZTMwZDAwXkEyXkFqcGdeQXVyNTE0MDc0NTM@._V1_UY268_CR1,0,182,268_AL_.jpg",3.98775
9.9,Drama,"In the land of Sukhbaatar in the town of Dariganga a new member has arrived in champ Tseveen's household. The family gets bigger with three girls already they add a long anticipated boy ""Taivan"" into the family.",Golden Treasure,/title/tt4717534/,Uranchimeg Urtnasan,,605,2016,"http://ia.media-imdb.com/images/M/MV5BNjg4ODEyMDQ4Ml5BMl5BanBnXkFtZTgwNzMxMzA2NzE@._V1_UX182_CR0,0,182,268_AL_.jpg",3.9766
